,Region,Major region,Year,variable,value
3592,Central Bedfordshire,West Midlands,2019,"Admissions per 100,000 population",856
3593,Essex,West Midlands,2019,"Admissions per 100,000 population",840
3594,Hertfordshire,West Midlands,2019,"Admissions per 100,000 population",1361
3595,Luton,West Midlands,2019,"Admissions per 100,000 population",1117
3596,Norfolk,West Midlands,2019,"Admissions per 100,000 population",1227
3597,Peterborough,West Midlands,2019,"Admissions per 100,000 population",1060
3598,Southend-On-Sea,West Midlands,2019,"Admissions per 100,000 population",767
3599,Suffolk,West Midlands,2019,"Admissions per 100,000 population",1434
3600,Thurrock,West Midlands,2019,"Admissions per 100,000 population",685
3601,City Of London,London,2019,"Admissions per 100,000 population",591
3602,Barking And Dagenham,London,2019,"Admissions per 100,000 population",1520
3603,Barnet,London,2019,"Admissions per 100,000 population",685
3604,Bexley,London,2019,"Admissions per 100,000 population",983
3605,Brent,London,2019,"Admissions per 100,000 population",1569
3606,Bromley,London,2019,"Admissions per 100,000 population",863
3607,Camden,London,2019,"Admissions per 100,000 population",641
3608,Croydon,London,2019,"Admissions per 100,000 population",874
3609,Ealing,London,2019,"Admissions per 100,000 population",1588
3610,Enfield,London,2019,"Admissions per 100,000 population",986
3611,Greenwich,London,2019,"Admissions per 100,000 population",973
3612,Hackney,London,2019,"Admissions per 100,000 population",1936
3613,Hammersmith And Fulham,London,2019,"Admissions per 100,000 population",1314
3614,Haringey,London,2019,"Admissions per 100,000 population",988
3615,Harrow,London,2019,"Admissions per 100,000 population",1411
3616,Havering,London,2019,"Admissions per 100,000 population",1216
3617,Hillingdon,London,2019,"Admissions per 100,000 population",1005
3618,Hounslow,London,2019,"Admissions per 100,000 population",898
3619,Islington,London,2019,"Admissions per 100,000 population",1173
3620,Lambeth,London,2019,"Admissions per 100,000 population",1357
3621,Lewisham,London,2019,"Admissions per 100,000 population",886
3622,Merton,London,2019,"Admissions per 100,000 population",697
3623,Newham,London,2019,"Admissions per 100,000 population",1003
3624,Redbridge,London,2019,"Admissions per 100,000 population",944
3625,Richmond Upon Thames,London,2019,"Admissions per 100,000 population",491
3626,Southwark,London,2019,"Admissions per 100,000 population",1453
3627,Sutton,London,2019,"Admissions per 100,000 population",672
3628,Tower Hamlets,London,2019,"Admissions per 100,000 population",1066
3629,Waltham Forest,London,2019,"Admissions per 100,000 population",879
3630,Wandsworth,London,2019,"Admissions per 100,000 population",787
3631,Kensington And Chelsea,London,2019,"Admissions per 100,000 population",741
3632,Kingston Upon Thames,London,2019,"Admissions per 100,000 population",705
3633,Westminster,London,2019,"Admissions per 100,000 population",889
3634,Bracknell Forest,South East,2019,"Admissions per 100,000 population",692
3635,Brighton And Hove,South East,2019,"Admissions per 100,000 population",992
3636,Buckinghamshire,South East,2019,"Admissions per 100,000 population",896
3637,East Sussex,South East,2019,"Admissions per 100,000 population",1260
3638,Hampshire,South East,2019,"Admissions per 100,000 population",968
3639,Isle Of Wight,South East,2019,"Admissions per 100,000 population",1077
3640,Kent,South East,2019,"Admissions per 100,000 population",1014
3641,Medway,South East,2019,"Admissions per 100,000 population",1645
3642,Milton Keynes,South East,2019,"Admissions per 100,000 population",1540
3643,Oxfordshire,South East,2019,"Admissions per 100,000 population",656
3644,Portsmouth,South East,2019,"Admissions per 100,000 population",1258
3645,Reading,South East,2019,"Admissions per 100,000 population",425
3646,Windsor And Maidenhead,South East,2019,"Admissions per 100,000 population",1364
3647,Slough,South East,2019,"Admissions per 100,000 population",2644
3648,Southampton,South East,2019,"Admissions per 100,000 population",2457
3649,Surrey,South East,2019,"Admissions per 100,000 population",664
3650,West Berkshire,South East,2019,"Admissions per 100,000 population",432
3651,Wokingham,West Sussex,2019,"Admissions per 100,000 population",313
3652,Bath And North East Somerset,South West,2019,"Admissions per 100,000 population",1091
3653,Poole,South West,2019,"Admissions per 100,000 population",1428
3654,Bournemouth,South West,2019,"Admissions per 100,000 population",2224
3655,Bristol,South West,2019,"Admissions per 100,000 population",2009
3656,Cornwall,South West,2019,"Admissions per 100,000 population",2350
3657,Devon,South West,2019,"Admissions per 100,000 population",800
3658,Dorset,South West,2019,"Admissions per 100,000 population",1155
3659,Gloucestershire,South West,2019,"Admissions per 100,000 population",806
3660,Isles Of Scilly,South West,2019,"Admissions per 100,000 population",1091
3661,North Somerset,South West,2019,"Admissions per 100,000 population",1539
3662,Plymouth,South West,2019,"Admissions per 100,000 population",1170
3663,Somerset,South West,2019,"Admissions per 100,000 population",1290
3664,South Gloucestershire,South West,2019,"Admissions per 100,000 population",1881
3665,Swindon,South West,2019,"Admissions per 100,000 population",1337
3666,Torbay,South West,2019,"Admissions per 100,000 population",1865
3667,Wiltshire,South West,2019,"Admissions per 100,000 population",1270
3668,County Durham,North East,2014,"Admissions per 100,000 population: men",338.41890686711685
3669,Darlington,North East,2014,"Admissions per 100,000 population: men",192.382432957637
3670,Gateshead,North East,2014,"Admissions per 100,000 population: men",403.9538513327417
3671,Hartlepool,North East,2014,"Admissions per 100,000 population: men",364.1644325290438
3672,Middlesbrough,North East,2014,"Admissions per 100,000 population: men",251.14121522802148
3673,Newcastle,North East,2014,"Admissions per 100,000 population: men",582.42574964983
3674,North Tyneside,North East,2014,"Admissions per 100,000 population: men",1002.3797504867671
3675,Northumberland,North East,2014,"Admissions per 100,000 population: men",1062.022640922235
3676,Redcar & Cleveland,North East,2014,"Admissions per 100,000 population: men",214.76223840131598
3677,South Tyneside,North East,2014,"Admissions per 100,000 population: men",359.17431833745616
3678,Stockton-On-Tees,North East,2014,"Admissions per 100,000 population: men",278.2231944695176
3679,Sunderland,North East,2014,"Admissions per 100,000 population: men",395.8857757493819
3680,"Ashton, Leigh & Wigan",North West,2014,"Admissions per 100,000 population: men",302.42063040149816
3681,Blackburn With Darwen,North West,2014,"Admissions per 100,000 population: men",404.77031322159144
3682,Blackpool,North West,2014,"Admissions per 100,000 population: men",346.968328386884
3683,Bolton,North West,2014,"Admissions per 100,000 population: men",294.856075202896
3684,Bury,North West,2014,"Admissions per 100,000 population: men",374.7754103239603
3685,Central & Eastern Cheshire,North West,2014,"Admissions per 100,000 population: men",195.96384774575665
3686,Central Lancashire,North West,2014,"Admissions per 100,000 population: men",598.9628349178911
3687,Cumbria,North West,2014,"Admissions per 100,000 population: men",329.5729774541199
3688,East Lancashire,North West,2014,"Admissions per 100,000 population: men",368.81739287555337
3689,Halton & St. Helens,North West,2014,"Admissions per 100,000 population: men",473.8372684196612
3690,"Heywood, Middleton & Rochdale",North West,2014,"Admissions per 100,000 population: men",377.5802117146187
3691,Knowsley,North West,2014,"Admissions per 100,000 population: men",601.9400658236619
3692,Liverpool,North West,2014,"Admissions per 100,000 population: men",406.16714472308166
3693,Manchester,North West,2014,"Admissions per 100,000 population: men",270.61942217815056
3694,North Lancashire,North West,2014,"Admissions per 100,000 population: men",282.92445083145145
3695,Oldham,North West,2014,"Admissions per 100,000 population: men",326.2820164228615
3696,Salford,North West,2014,"Admissions per 100,000 population: men",552.9387671513414
3697,Sefton,North West,2014,"Admissions per 100,000 population: men",545.3617591725125
3698,Stockport,North West,2014,"Admissions per 100,000 population: men",335.92440617234007
3699,Tameside,North West,2014,"Admissions per 100,000 population: men",520.7411103777989
3700,Trafford,North West,2014,"Admissions per 100,000 population: men",221.3006360144295
3701,Warrington,North West,2014,"Admissions per 100,000 population: men",314.4153466528695
3702,Western Cheshire,North West,2014,"Admissions per 100,000 population: men",329.52375970918223
3703,Wirral,North West,2014,"Admissions per 100,000 population: men",1010.3177234694076
3704,Yorkshire And The Humber,North West,2014,"Admissions per 100,000 population: men",338.70503453346294
3705,Yorkshire And The Humber,North West,2014,"Admissions per 100,000 population: men",338.70503453346294
3706,Barnsley,North West,2014,"Admissions per 100,000 population: men",310.61623101424095
3707,Bradford & Airedale,North West,2014,"Admissions per 100,000 population: men",1009.9440646364201
3708,Calderdale,North West,2014,"Admissions per 100,000 population: men",326.7384288491992
3709,Doncaster,North West,2014,"Admissions per 100,000 population: men",296.91689008042897
3710,East Riding Of Yorkshire,North West,2014,"Admissions per 100,000 population: men",248.7501375154323
3711,Hull,North West,2014,"Admissions per 100,000 population: men",190.13036397497137
3712,Kirklees,North West,2014,"Admissions per 100,000 population: men",246.09079505520285
3713,Leeds,North West,2014,"Admissions per 100,000 population: men",236.40019564154122
3714,North East Lincolnshire,North West,2014,"Admissions per 100,000 population: men",332.75554487138936
3715,North Lincolnshire,North West,2014,"Admissions per 100,000 population: men",194.71419181208222
3716,North Yorkshire & York,North West,2014,"Admissions per 100,000 population: men",238.90906682831658
3717,Rotherham,North West,2014,"Admissions per 100,000 population: men",323.2843795943532
3718,Sheffield,North West,2014,"Admissions per 100,000 population: men",351.50932527087866
3719,Wakefield District,North West,2014,"Admissions per 100,000 population: men",204.78241868015232
3720,Bassetlaw,East Midlands,2014,"Admissions per 100,000 population: men",361.9441571871768
3721,Derby,East Midlands,2014,"Admissions per 100,000 population: men",151.87200519775845
3722,Derbyshire,East Midlands,2014,"Admissions per 100,000 population: men",236.85574685387186
3723,Leicester,East Midlands,2014,"Admissions per 100,000 population: men",187.05918429929469
3724,Leicestershire,East Midlands,2014,"Admissions per 100,000 population: men",205.11827313302757
3725,Lincolnshire,East Midlands,2014,"Admissions per 100,000 population: men",434.0337384696377
3726,Northampton,East Midlands,2014,"Admissions per 100,000 population: men",203.3078419573638
3727,Nottingham,East Midlands,2014,"Admissions per 100,000 population: men",283.3120087735332
3728,Nottinghamshire,East Midlands,2014,"Admissions per 100,000 population: men",324.4075936749581
3729,Birmingham East & North,West Midlands,2014,"Admissions per 100,000 population: men",192.53426822609845
3730,Coventry,West Midlands,2014,"Admissions per 100,000 population: men",920.604950865166
3731,Dudley,West Midlands,2014,"Admissions per 100,000 population: men",580.2808481327693
3732,Heart Of Birmingham,West Midlands,2014,"Admissions per 100,000 population: men",343.97768207795025
3733,Herefordshire,West Midlands,2014,"Admissions per 100,000 population: men",320.9349166122553
3734,North Staffordshire,West Midlands,2014,"Admissions per 100,000 population: men",148.5869948280296
3735,Sandwell,West Midlands,2014,"Admissions per 100,000 population: men",508.7352604803408
3736,Shropshire,West Midlands,2014,"Admissions per 100,000 population: men",239.7608959831839
3737,Solihull,West Midlands,2014,"Admissions per 100,000 population: men",157.32977515782767
3738,South Birmingham,West Midlands,2014,"Admissions per 100,000 population: men",335.91116629053124
3739,South Staffordshire,West Midlands,2014,"Admissions per 100,000 population: men",358.1017715599748
3740,Stoke On Trent,West Midlands,2014,"Admissions per 100,000 population: men",179.70855959682774
3741,Telford And Wrekin,West Midlands,2014,"Admissions per 100,000 population: men",243.31194770608886
3742,Walsall,West Midlands,2014,"Admissions per 100,000 population: men",472.73825706086694
3743,Warwickshire,West Midlands,2014,"Admissions per 100,000 population: men",600.5504736892865
3744,Wolverhampton,West Midlands,2014,"Admissions per 100,000 population: men",477.09537864391706
3745,Worcestershire,West Midlands,2014,"Admissions per 100,000 population: men",827.8656197339643
3746,East Of England,West Midlands,2014,"Admissions per 100,000 population: men",463.5700299583952
3747,East Of England,West Midlands,2014,"Admissions per 100,000 population: men",463.5700299583952
3748,Bedfordshire,West Midlands,2014,"Admissions per 100,000 population: men",431.31936726770687
3749,Cambridgeshire,West Midlands,2014,"Admissions per 100,000 population: men",507.5684380032206
3750,Great Yarmouth & Waveney,West Midlands,2014,"Admissions per 100,000 population: men",607.4082630626468
3751,Hertfordshire,West Midlands,2014,"Admissions per 100,000 population: men",633.1396513724704
3752,Luton,West Midlands,2014,"Admissions per 100,000 population: men",612.795402568463
3753,Mid Essex,West Midlands,2014,"Admissions per 100,000 population: men",232.38177780185256
3754,Norfolk,West Midlands,2014,"Admissions per 100,000 population: men",402.7981616977514
3755,North East Essex,West Midlands,2014,"Admissions per 100,000 population: men",280.46058738717386
3756,Peterborough,West Midlands,2014,"Admissions per 100,000 population: men",360.13354496196155
3757,South East Essex,West Midlands,2014,"Admissions per 100,000 population: men",269.67886924123246
3758,South West Essex,West Midlands,2014,"Admissions per 100,000 population: men",436.29885716873747
3759,Suffolk,West Midlands,2014,"Admissions per 100,000 population: men",490.9725980223348
3760,West Essex,West Midlands,2014,"Admissions per 100,000 population: men",478.4722911379843
3761,Barking And Dagenham,London,2014,"Admissions per 100,000 population: men",342.23586763945286
3762,Barnet,London,2014,"Admissions per 100,000 population: men",311.3396831253892
3763,Bexley,London,2014,"Admissions per 100,000 population: men",269.4143360542397
3764,Brent,London,2014,"Admissions per 100,000 population: men",781.5480884185893
3765,Bromley,London,2014,"Admissions per 100,000 population: men",261.472964365928
3766,Camden,London,2014,"Admissions per 100,000 population: men",245.17060173192212
3767,City & Hackney,London,2014,"Admissions per 100,000 population: men",318.7955210807484
3768,Croydon,London,2014,"Admissions per 100,000 population: men",297.37339016971765
3769,Ealing,London,2014,"Admissions per 100,000 population: men",407.4327029509432
3770,Enfield,London,2014,"Admissions per 100,000 population: men",383.43507672001317
3771,Greenwich,London,2014,"Admissions per 100,000 population: men",244.2964655817802
3772,Hammersmith And Fulham,London,2014,"Admissions per 100,000 population: men",259.2708988057825
3773,Haringey,London,2014,"Admissions per 100,000 population: men",321.73865043253346
3774,Harrow,London,2014,"Admissions per 100,000 population: men",883.2658966831262
3775,Havering,London,2014,"Admissions per 100,000 population: men",366.7161442416834
3776,Hillingdon,London,2014,"Admissions per 100,000 population: men",421.8113764794467
3777,Hounslow,London,2014,"Admissions per 100,000 population: men",209.9463036963037
3778,Islington,London,2014,"Admissions per 100,000 population: men",391.9064924860033
3779,Kensington And Chelsea,London,2014,"Admissions per 100,000 population: men",176.72369634258786
3780,Kingston,London,2014,"Admissions per 100,000 population: men",253.92693539537316
3781,Lambeth,London,2014,"Admissions per 100,000 population: men",216.7011368576359
3782,Lewisham,London,2014,"Admissions per 100,000 population: men",201.27103024226247
3783,Newham,London,2014,"Admissions per 100,000 population: men",262.27282544972076
3784,Redbridge,London,2014,"Admissions per 100,000 population: men",359.81020370131455
3785,Richmond Upon Thames,London,2014,"Admissions per 100,000 population: men",152.05382048897883
3786,Southwark,London,2014,"Admissions per 100,000 population: men",245.39963085183734
3787,Sutton,London,2014,"Admissions per 100,000 population: men",252.7068288158731
3788,Tower Hamlets,London,2014,"Admissions per 100,000 population: men",175.57269239210225
3789,Waltham Forest,London,2014,"Admissions per 100,000 population: men",583.1890748220812
3790,Wandsworth,London,2014,"Admissions per 100,000 population: men",189.72787793055826
3791,Westminster,London,2014,"Admissions per 100,000 population: men",234.78998348435476
3792,South East Coast,South East,2014,"Admissions per 100,000 population: men",326.0149902881369
3793,Brighton And Hove,South East,2014,"Admissions per 100,000 population: men",386.92814296517645
3794,East Sussex Downs & Weald,South East,2014,"Admissions per 100,000 population: men",363.7021623088754
3795,Eastern & Coastal Kent,South East,2014,"Admissions per 100,000 population: men",250.443747416539
3796,Hastings & Rother,South East,2014,"Admissions per 100,000 population: men",496.1935834692768
3797,Medway,South East,2014,"Admissions per 100,000 population: men",511.54010109006754
3798,Surrey,South East,2014,"Admissions per 100,000 population: men",170.80984924805549
3799,West Kent,South East,2014,"Admissions per 100,000 population: men",300.49756403940177
3800,Berkshire East,South Central,2014,"Admissions per 100,000 population: men",432.9810056522634
3801,Berkshire West,South Central,2014,"Admissions per 100,000 population: men",273.09396856173396
3802,Buckinghamshire,South Central,2014,"Admissions per 100,000 population: men",311.5629685157421
3803,Hampshire,South Central,2014,"Admissions per 100,000 population: men",250.49960927002994
3804,Isle Of Wight,South Central,2014,"Admissions per 100,000 population: men",292.01191764374545
3805,Milton Keynes,South Central,2014,"Admissions per 100,000 population: men",287.4518933814795
3806,Oxfordshire,South Central,2014,"Admissions per 100,000 population: men",231.05360443622922
3807,Portsmouth,South Central,2014,"Admissions per 100,000 population: men",319.66416006316257
3808,Southampton,South Central,2014,"Admissions per 100,000 population: men",504.34271807997317
3809,Bath And North East Somerset,South West,2014,"Admissions per 100,000 population: men",401.419512478911
3810,Bournemouth & Poole,South West,2014,"Admissions per 100,000 population: men",255.43484887279467
3811,Bristol,South West,2014,"Admissions per 100,000 population: men",350.1042813957303
3812,Cornwall & Isles Of Scilly,South West,2014,"Admissions per 100,000 population: men",948.2944565987736
3813,Devon,South West,2014,"Admissions per 100,000 population: men",564.0377053832949
3814,Dorset,South West,2014,"Admissions per 100,000 population: men",285.05988736416276
3815,Gloucestershire,South West,2014,"Admissions per 100,000 population: men",201.1496212250353
3816,North Somerset,South West,2014,"Admissions per 100,000 population: men",391.93842414421715
3817,Plymouth,South West,2014,"Admissions per 100,000 population: men",1206.5902623842537
3818,Somerset,South West,2014,"Admissions per 100,000 population: men",348.9654427812353
3819,South Gloucestershire,South West,2014,"Admissions per 100,000 population: men",405.5119013917474
3820,Swindon,South West,2014,"Admissions per 100,000 population: men",309.5860100592211
3821,Torbay,South West,2014,"Admissions per 100,000 population: men",756.2573173432902
3822,Wiltshire,South West,2014,"Admissions per 100,000 population: men",388.8758457302627
3823,Unknown,England,2015,"Admissions per 100,000 population: men",.
3824,Darlington,North East,2015,"Admissions per 100,000 population: men",300.6872852233677
3825,Durham,North East,2015,"Admissions per 100,000 population: men",365.28634500406747
3826,Gateshead,North East,2015,"Admissions per 100,000 population: men",448.52648854728386
3827,Hartlepool,North East,2015,"Admissions per 100,000 population: men",380.35426018885033
3828,Middlesbrough,North East,2015,"Admissions per 100,000 population: men",241.89646831156267
3829,Newcastle-Upon-Tyne,North East,2015,"Admissions per 100,000 population: men",545.0233680502586
3830,North Tyneside,North East,2015,"Admissions per 100,000 population: men",946.2171793716462
3831,Northumberland,North East,2015,"Admissions per 100,000 population: men",1064.5815909076173
3832,Redcar & Cleveland,North East,2015,"Admissions per 100,000 population: men",259.2846793258598
3833,South Tyneside,North East,2015,"Admissions per 100,000 population: men",316.4645197267531
3834,Stockton-On-Tees,North East,2015,"Admissions per 100,000 population: men",277.7073830038858
3835,Sunderland,North East,2015,"Admissions per 100,000 population: men",351.2505860377892
3836,Blackburn With Darwen,North West,2015,"Admissions per 100,000 population: men",543.9376175805
3837,Blackpool,North West,2015,"Admissions per 100,000 population: men",407.2645636656689
3838,Bolton,North West,2015,"Admissions per 100,000 population: men",357.70434581933046
3839,Bury,North West,2015,"Admissions per 100,000 population: men",425.19150055340646
3840,Cheshire East,North West,2015,"Admissions per 100,000 population: men",261.81164897521006
3841,Cheshire West And Chester,North West,2015,"Admissions per 100,000 population: men",563.1950776254008
3842,Cumbria,North West,2015,"Admissions per 100,000 population: men",352.09115248725504
3843,Halton,North West,2015,"Admissions per 100,000 population: men",710.9043288705243
3844,Knowsley,North West,2015,"Admissions per 100,000 population: men",817.9016790023903
3845,Lancashire,North West,2015,"Admissions per 100,000 population: men",545.4476628341943
3846,Liverpool,North West,2015,"Admissions per 100,000 population: men",558.3710523940321
3847,Manchester,North West,2015,"Admissions per 100,000 population: men",346.5771182170319
3848,Oldham Metropolitian,North West,2015,"Admissions per 100,000 population: men",533.0995804971421
3849,Rochdale,North West,2015,"Admissions per 100,000 population: men",562.1054452163385
3850,Salford,North West,2015,"Admissions per 100,000 population: men",799.1382333784258
3851,Sefton,North West,2015,"Admissions per 100,000 population: men",730.551081322473
3852,St Helens,North West,2015,"Admissions per 100,000 population: men",713.3869720301516
3853,Stockport,North West,2015,"Admissions per 100,000 population: men",389.5572821384758
3854,Tameside,North West,2015,"Admissions per 100,000 population: men",497.86104145154155
3855,Trafford,North West,2015,"Admissions per 100,000 population: men",269.0320174737627
3856,Warrington,North West,2015,"Admissions per 100,000 population: men",448.28060793142095
3857,Wigan,North West,2015,"Admissions per 100,000 population: men",313.23858443891214
3858,Wirral,North West,2015,"Admissions per 100,000 population: men",2357.2581638540782
3859,Yorkshire And The Humber,North West,2015,"Admissions per 100,000 population: men",423.1977782306759
3860,Barnsley,North West,2015,"Admissions per 100,000 population: men",291.7107674832847
3861,Calderdale,North West,2015,"Admissions per 100,000 population: men",387.8231447312445
3862,City Of Bradford,North West,2015,"Admissions per 100,000 population: men",1255.0042039169707
3863,Doncaster,North West,2015,"Admissions per 100,000 population: men",247.1471491476421
3864,East Riding Of Yorkshire,North West,2015,"Admissions per 100,000 population: men",282.9747569514024
3865,Kingston-Upon-Hull,North West,2015,"Admissions per 100,000 population: men",207.49618687044648
3866,Kirklees,North West,2015,"Admissions per 100,000 population: men",338.41427389814487
3867,Leeds,North West,2015,"Admissions per 100,000 population: men",310.5282460240338
3868,North East Lincolnshire,North West,2015,"Admissions per 100,000 population: men",625.1275770565422
3869,North Lincolnshire,North West,2015,"Admissions per 100,000 population: men",303.79078061022324
3870,Rotherham,North Yorkshire,2015,"Admissions per 100,000 population: men",405.89331927914606
3871,Sheffield,North Yorkshire,2015,"Admissions per 100,000 population: men",261.95743822200444
3872,Wakefield,North Yorkshire,2015,"Admissions per 100,000 population: men",497.77667984189725
3873,York,North Yorkshire,2015,"Admissions per 100,000 population: men",319.97731806352965
3874,Derby,East Midlands,2015,"Admissions per 100,000 population: men",162.26724290281638
3875,Derbyshire,East Midlands,2015,"Admissions per 100,000 population: men",316.8903334032292
3876,Leicester,East Midlands,2015,"Admissions per 100,000 population: men",217.87810930218484
3877,Leicestershire,East Midlands,2015,"Admissions per 100,000 population: men",258.21000876997306
3878,Lincolnshire,East Midlands,2015,"Admissions per 100,000 population: men",523.5350216630302
3879,Northamptonshire,East Midlands,2015,"Admissions per 100,000 population: men",371.714133174123
3880,Nottingham,East Midlands,2015,"Admissions per 100,000 population: men",375.7959345132518
3881,Nottinghamshire,East Midlands,2015,"Admissions per 100,000 population: men",382.24914580840084
3882,Rutland,East Midlands,2015,"Admissions per 100,000 population: men",265.27958387516253
3883,Birmingham,West Midlands,2015,"Admissions per 100,000 population: men",313.8030667708347
3884,Coventry,West Midlands,2015,"Admissions per 100,000 population: men",891.3098801488143
3885,Dudley,West Midlands,2015,"Admissions per 100,000 population: men",659.4957025991508
3886,Herefordshire,West Midlands,2015,"Admissions per 100,000 population: men",313.6981526664343
3887,Sandwell,West Midlands,2015,"Admissions per 100,000 population: men",473.740939865881
3888,Shropshire,West Midlands,2015,"Admissions per 100,000 population: men",306.54396193364533
3889,Solihull,West Midlands,2015,"Admissions per 100,000 population: men",203.21794631494834
3890,Staffordshire,West Midlands,2015,"Admissions per 100,000 population: men",366.0867745568516
3891,Stoke-On-Trent,West Midlands,2015,"Admissions per 100,000 population: men",199.15199794423745
3892,Telford And Wrekin,West Midlands,2015,"Admissions per 100,000 population: men",302.9069489009147
3893,Walsall,West Midlands,2015,"Admissions per 100,000 population: men",379.6569634916483
3894,Warwickshire,West Midlands,2015,"Admissions per 100,000 population: men",709.2486616208233
3895,Wolverhampton,West Midlands,2015,"Admissions per 100,000 population: men",395.65741857659833
3896,Worcestershire,West Midlands,2015,"Admissions per 100,000 population: men",1145.3118898001205
3897,East Of England,West Midlands,2015,"Admissions per 100,000 population: men",515.3164642517978
3898,Bedford,West Midlands,2015,"Admissions per 100,000 population: men",346.1514255145069
3899,Cambridgeshire,West Midlands,2015,"Admissions per 100,000 population: men",516.9196791226645
3900,Central Bedfordshire,West Midlands,2015,"Admissions per 100,000 population: men",592.0007333170374
3901,Essex,West Midlands,2015,"Admissions per 100,000 population: men",389.55686821727846
3902,Hertfordshire,West Midlands,2015,"Admissions per 100,000 population: men",694.6682422028861
3903,Luton,West Midlands,2015,"Admissions per 100,000 population: men",866.0033990872115
3904,Norfolk,West Midlands,2015,"Admissions per 100,000 population: men",436.7887236766216
3905,Peterborough,West Midlands,2015,"Admissions per 100,000 population: men",382.53584937918066
3906,Southend-On-Sea,West Midlands,2015,"Admissions per 100,000 population: men",257.79780291241843
3907,Suffolk,West Midlands,2015,"Admissions per 100,000 population: men",543.7503094178544
3908,Thurrock,West Midlands,2015,"Admissions per 100,000 population: men",650.4310996823476
3909,Corporation Of The Of London,London,2015,"Admissions per 100,000 population: men",*
3910,Barking And Dagenham,London,2015,"Admissions per 100,000 population: men",419.2121339793554
3911,Barnet,London,2015,"Admissions per 100,000 population: men",295.3252178923864
3912,Bexley,London,2015,"Admissions per 100,000 population: men",343.2956381260097
3913,Brent,London,2015,"Admissions per 100,000 population: men",640.9656300124199
3914,Bromley,London,2015,"Admissions per 100,000 population: men",216.83731960248676
3915,Camden,London,2015,"Admissions per 100,000 population: men",296.1882245405567
3916,Croydon,London,2015,"Admissions per 100,000 population: men",344.62348639484003
3917,Ealing,London,2015,"Admissions per 100,000 population: men",479.64006597236386
3918,Enfield,London,2015,"Admissions per 100,000 population: men",550.2549022125769
3919,Greenwich,London,2015,"Admissions per 100,000 population: men",273.1867231252561
3920,Hackney,London,2015,"Admissions per 100,000 population: men",384.20524400953457
3921,Hammersmith And Fulham,London,2015,"Admissions per 100,000 population: men",282.9000114534417
3922,Haringey,London,2015,"Admissions per 100,000 population: men",377.64465003412454
3923,Harrow,London,2015,"Admissions per 100,000 population: men",637.918893169297
3924,Havering,London,2015,"Admissions per 100,000 population: men",404.3636864202629
3925,Hillingdon,London,2015,"Admissions per 100,000 population: men",460.6004606004606
3926,Hounslow,London,2015,"Admissions per 100,000 population: men",221.9873150105708
3927,Islington,London,2015,"Admissions per 100,000 population: men",438.8831823699692
3928,Lambeth,London,2015,"Admissions per 100,000 population: men",239.85239852398524
3929,Lewisham,London,2015,"Admissions per 100,000 population: men",189.13403630520259
3930,Merton,London,2015,"Admissions per 100,000 population: men",256.32553342745285
3931,Newham,London,2015,"Admissions per 100,000 population: men",309.9679156017184
3932,Redbridge,London,2015,"Admissions per 100,000 population: men",384.05369730670935
3933,Richmond Upon Thames,London,2015,"Admissions per 100,000 population: men",149.40292571772522
3934,Southwark,London,2015,"Admissions per 100,000 population: men",290.8612612123965
3935,Sutton,London,2015,"Admissions per 100,000 population: men",278.03716255206643
3936,Tower Hamlets,London,2015,"Admissions per 100,000 population: men",193.43460203675258
3937,Waltham Forest,London,2015,"Admissions per 100,000 population: men",597.6245742019112
3938,Wandsworth,London,2015,"Admissions per 100,000 population: men",194.1656567820725
3939,Royal Of Kensington And Chelsea,London,2015,"Admissions per 100,000 population: men",160.12497559070493
3940,Royal Of Kingston-Upon-Thames,London,2015,"Admissions per 100,000 population: men",181.20821803756397
3941,Westminster,London,2015,"Admissions per 100,000 population: men",213.56891671669956
3942,Bracknell Forest,South East,2015,"Admissions per 100,000 population: men",576.7570367812123
3943,Brighton And Hove,South East,2015,"Admissions per 100,000 population: men",377.1524629851797
3944,Buckinghamshire,South East,2015,"Admissions per 100,000 population: men",462.1528422399798
3945,East Sussex,South East,2015,"Admissions per 100,000 population: men",442.8261771537367
3946,Hampshire,South East,2015,"Admissions per 100,000 population: men",354.12527697055674
3947,Isle Of Wight,South East,2015,"Admissions per 100,000 population: men",491.26233704739496
3948,Kent,South East,2015,"Admissions per 100,000 population: men",420.57940418829264
3949,Medway,South East,2015,"Admissions per 100,000 population: men",815.825679544863
3950,Milton Keynes,South East,2015,"Admissions per 100,000 population: men",386.5459863246512
3951,Oxfordshire,South East,2015,"Admissions per 100,000 population: men",225.99382828099473
3952,Portsmouth,South East,2015,"Admissions per 100,000 population: men",343.0597114486649
3953,Reading,South East,2015,"Admissions per 100,000 population: men",478.22992495660975
3954,Royal Of Windsor & Maidenhead,South East,2015,"Admissions per 100,000 population: men",727.3531811330669
3955,Slough,South East,2015,"Admissions per 100,000 population: men",806.6767152347456
3956,Southampton,South East,2015,"Admissions per 100,000 population: men",869.6501856556577
3957,Surrey,South East,2015,"Admissions per 100,000 population: men",162.78892822954654
3958,West Berkshire District,South East,2015,"Admissions per 100,000 population: men",395.67738671302357
3959,Wokingham,West Sussex,2015,"Admissions per 100,000 population: men",403.8047379755922
3960,Bath And North East Somerset,South West,2015,"Admissions per 100,000 population: men",461.2775579423403
